,Unnamed: 0,disentanglement,avg_corr_coef,IOSS,IRS,gaussian_total_correlation,gaussian_wasserstein_dependency,dataset,IOSS_classify,IRS_classify,gaussian_total_correlation_classify,gaussian_wasserstein_dependency_classify,avg_corr_coef_classify
1,1,disentangled,0.843352963023966,0.9005317273146243,1.0,4.400734361525674,0.311143820228119,mpi3d,True,True,False,True,False
0,0,entangled,0.2705320320575927,0.8183333291736381,0.5758217746442537,2.56005794630065,0.4185453194503902,dsprites,True,True,False,False,False
1,1,disentangled,0.8952743306973477,0.757739684044771,1.0,3.3886360288498505,0.4452649718346382,dsprites,True,True,False,False,False
0,0,entangled,0.2324219886126856,0.9751376507238366,0.4896923480107109,4.478479758089085,0.4937904987670224,mpi3d,True,True,True,True,False
1,1,disentangled,0.8302521250085402,0.9475555786549772,1.0,4.143642229765165,0.2950690413174169,mpi3d,True,True,True,True,False
0,0,entangled,0.1586141300017137,0.6734148844769269,0.4943254451387892,0.9521803593358658,0.2097201357759047,smallnorb,True,True,False,False,False
1,1,disentangled,0.8967548873120452,0.6417824437665526,1.0,2.3462187675037423,0.2650070689039725,smallnorb,True,True,False,False,False
0,0,entangled,0.0611331998621654,0.7729346642275308,0.5781546731279696,2.628454708421105,0.4048183610180802,dsprites,True,True,False,False,False
1,1,disentangled,0.8963804692863806,0.6857354330112937,1.0,3.4133293481334244,0.4558102424738672,dsprites,True,True,False,False,False
0,0,entangled,0.1064616355298391,0.6519344176321302,0.5213870614507705,0.9228358707968288,0.1453060985549393,smallnorb,True,True,False,False,False
1,1,disentangled,0.8988745984571166,0.5930225542838121,1.0,2.372429832286457,0.2746224620512076,smallnorb,True,True,False,False,False
0,0,entangled,0.0279438219081608,1.0909874233749612,0.5359247179803034,8.04582857957297,0.6989909600158463,mpi3d,True,True,True,True,False
1,1,disentangled,0.8384299904549243,0.8672751349543251,1.0,4.2897456736376185,0.3079861585451122,mpi3d,True,True,True,True,False
0,0,entangled,0.0586247713346422,1.048223496335488,0.5197764455440553,5.072236863906827,0.5537710757733912,mpi3d,True,True,True,True,False
1,1,disentangled,0.8462175743167616,0.8886944005208371,1.0,4.47270918837382,0.3156979195737975,mpi3d,True,True,True,True,False
0,0,entangled,0.2368132930353267,0.6020822143971,0.7318270945812443,1.040338143618596,0.1691332800002924,cars3d,True,True,False,True,False
1,1,disentangled,0.9060073601007078,0.4722860389753309,1.0,1.4694599940082238,0.0171140060929246,cars3d,True,True,False,True,False
0,0,entangled,0.1744271776453037,0.5578978012694064,0.7022935989210322,0.811455699630494,0.1638347730204377,cars3d,True,True,False,True,False
1,1,disentangled,0.9154595431098218,0.5006569187495306,1.0,1.5722916457220537,0.0183322683814273,cars3d,True,True,False,True,False
0,0,entangled,0.2045052639893223,0.6079482166942483,0.7443200342338872,1.1869694772471089,0.3325653628829619,cars3d,True,True,False,True,False
1,1,disentangled,0.9069576740649156,0.4700113609031761,1.0,1.4790340181094708,0.0173381866169241,cars3d,True,True,False,True,False
0,0,entangled,0.147370694092616,0.7518742009173994,0.512478229826285,1.0383910035491648,0.0753075658406367,dsprites,True,True,False,False,False
1,1,disentangled,0.8928848879186763,0.6950192786076764,1.0,3.346303085499076,0.4414170491799142,dsprites,True,True,False,False,False
0,0,entangled,0.2680589425094478,0.5520757536344382,0.672988094009328,0.3012360254394508,0.0921541461654796,cars3d,True,True,False,True,False
1,1,disentangled,0.9049776849633564,0.4768098220381909,1.0,1.4565122033379518,0.0165977404622305,cars3d,True,True,False,True,False
0,0,entangled,0.055351141071633,0.8363367147225051,0.6123966265501151,3.001203261843517,0.5059835790362811,dsprites,True,True,False,True,False
1,1,disentangled,0.894670354536357,0.7096887693890502,1.0,3.3638025075655174,0.4432985393809702,dsprites,True,True,False,True,False
0,0,entangled,0.1910108136745819,0.5471641236634153,0.7717241532161088,0.4766873689378874,0.0919713096214477,cars3d,True,True,False,True,False
1,1,disentangled,0.9184343021057984,0.4778816297405052,1.0,1.603297170726684,0.0180782283663006,cars3d,True,True,False,True,False
0,0,entangled,0.4219613559524777,0.4405041662984464,0.7098844084773773,0.2605304665176662,0.0954443492294737,cars3d,False,True,False,True,False
1,1,disentangled,0.9117951802766372,0.4785534451931617,1.0,1.5256115093787184,0.0180059978986357,cars3d,False,True,False,True,False
